
> @ansvar/georgian-law-mcp@1.0.0 ingest
> node --import tsx scripts/ingest.ts --mode full-main-normative --resume --skip-english --quiet

Georgian Law MCP -- Real Matsne ingestion
=========================================
Mode: full-main-normative
Resume mode: enabled (existing seed files are reused)
English titles: skipped (--skip-english)

Search-discovered 51350 document IDs; ingesting 51350 documents.

[03375/51350] processed, ingested=2578, skipped=11, already_present=786
[03400/51350] processed, ingested=2602, skipped=12, already_present=786
[03425/51350] processed, ingested=2626, skipped=13, already_present=786
[03450/51350] processed, ingested=2651, skipped=13, already_present=786
[03475/51350] processed, ingested=2676, skipped=13, already_present=786
[03500/51350] processed, ingested=2701, skipped=13, already_present=786
[03525/51350] processed, ingested=2726, skipped=13, already_present=786
[03550/51350] processed, ingested=2751, skipped=13, already_present=786
[03575/51350] processed, ingested=2776, skipped=13, already_present=786
[03600/51350] processed, ingested=2801, skipped=13, already_present=786
[03625/51350] processed, ingested=2826, skipped=13, already_present=786
[03650/51350] processed, ingested=2851, skipped=13, already_present=786
[03675/51350] processed, ingested=2876, skipped=13, already_present=786
[03700/51350] processed, ingested=2901, skipped=13, already_present=786
[03725/51350] processed, ingested=2926, skipped=13, already_present=786
[03750/51350] processed, ingested=2951, skipped=13, already_present=786
[03775/51350] processed, ingested=2976, skipped=13, already_present=786
[03800/51350] processed, ingested=3001, skipped=13, already_present=786
[03825/51350] processed, ingested=3026, skipped=13, already_present=786
[03850/51350] processed, ingested=3051, skipped=13, already_present=786
[03875/51350] processed, ingested=3076, skipped=13, already_present=786
[03900/51350] processed, ingested=3101, skipped=13, already_present=786
[03925/51350] processed, ingested=3126, skipped=13, already_present=786
[03950/51350] processed, ingested=3151, skipped=13, already_present=786
[03975/51350] processed, ingested=3176, skipped=13, already_present=786
[04000/51350] processed, ingested=3201, skipped=13, already_present=786
[04025/51350] processed, ingested=3226, skipped=13, already_present=786
[04050/51350] processed, ingested=3251, skipped=13, already_present=786
[04075/51350] processed, ingested=3276, skipped=13, already_present=786
[04100/51350] processed, ingested=3301, skipped=13, already_present=786
[04125/51350] processed, ingested=3325, skipped=14, already_present=786
[04150/51350] processed, ingested=3350, skipped=14, already_present=786
[04175/51350] processed, ingested=3375, skipped=14, already_present=786
[04200/51350] processed, ingested=3400, skipped=14, already_present=786
[04225/51350] processed, ingested=3425, skipped=14, already_present=786
[04250/51350] processed, ingested=3450, skipped=14, already_present=786
